names,cats,desc
 A TRICK TRIKE,Age 2-9,Little Ross was sad. He didn’t have a nice new tricycle like all the other children. All he had was an old hand-me-down trike. After sulking he decided to do something about it and made a “trick trike” that was the envy of the neighborhood.  
" KROAKER, THE BULLFROG ",Age 2-9,"If only those fishes had listened to Kroaker, if only they were a little wiser than brave.Let this good moral book for children be part of your next read aloud day and enjoy their attention in full. "
 MIX IT UP ,Age 2-9,Sally was thoroughly bored on this snowy day until she decided to step out and beat the cold. And she returned to the smell of her favorite hot cocoa wafting in the air. A perfect day! Read more about it in this free children’s stories online. 
 UP IN THE AIR ,Age 2-9,"Flight is fascinating especially if you ‘re a child. Balloons, birds, rockets, butterflies..the list goes on. Read this wonderful free children’s book about a little boy’s love for all things that fly. It will leave you wishing for a pair of wings for sure. "
" HEY MOM, WHAT IS DIVERSITY?",Age 2-9,"Sally learns how our differences makes the world a happier places to live.  If not for them,  the world would be a terribly boring place to be. A thoughtful and witty story encouraging us to open our eyes and embrace the diversity around us, complete with fun illustrations in this free  children’s bed time story. "
 BUBBLE FUN,Age 2-9,"When the last bubble popped, he was gone but a piece of paper lay on the ground.On it was written … The wondrous and delicate world of bubbles, crafted with unchained imagination. Read on this to immerse yourself in this free story book for kids with pictures. "
 HECTOR THE HERMIT CRAB,Age 2-9,"When Jimmy and Tammy bring home an unusual pet, they thought all was fine. But then it struck them that their pet wasn’t happy at all. Find out what they did next in this wonderful tale of empathy and compassion. Read this free children’s book about  Hector the hermit crab and how he made it back to the ocean from the aquarium, thanks to two fine young gentlemen. "
Tim Hopgood's ABC,Age 1-2,"A is for Acorn, B is for butterfly, C is for cloud. Existing fans of Tim Hopgood�s Wow! Said the Owl books (or those new to them) will delight in this new alphabet board book which highlights a lovely range of nature features, from islands and hills to rainbows and snakes via stripy tigers and beautiful full moons. It�s full of Hopgood�s distinctive, colour-rich paint spatter illustration and features a mirror for little ones to see themselves in at the end when it comes to letter Y for You.

A perfect accompaniment to days out in the pushchair for toddlers or repeated reads at home, this is an accessibly beautiful, well-made alphabet book with 1-2 year olds in mind and is a lovely place to start learning letters, animals and words."
Peek-Through Around Town,Age 1-3,"Dusty the dog is bored. He wants to go for a walk, so he heads off for a circuit of his town. He visits the caf� which smells deliciously of pastry and coffee, the book shop run by a friendly purple owl, and the music shop where Dusty enjoys making noise with all the different instruments. He also makes time to visit the sweet shop and the greengrocer, before ending up at the town restaurant for a dinner date with his best friend. Delightful!

The Peek-through series of board books from Little Tiger offer toddlers a bit of narrative, unlike many board books, which make them ideal for slightly older little ones with longer attention spans. The text is rhyming, so there�s a nice rhythm to the story, and young listeners will be introduced to a good set of vocabulary words such as twang, ruckus, cauliflower, greengrocer etc. Last, the durable peek-through flaps leading the reader along Dusty�s journey from one shop to another is a great interactive feature, encouraging interest and play."
"Let's Go, Fire Truck!",Age 0-2,"Firefighter Bear is going to work. The fire truck zooms down the street; the truck goes nee-naw, nee-naw! and its lights flash. When the fire is out, there�s more work to do to save a kitten stuck up a tree. What a busy day for the bear!

This attractive board book has thick, shaped pages that form alternating steps of colour, echoing the shape of the fire truck on the cover but also making it easier for babies and toddlers to grab and turn the pages. There�s enough of a story to entertain, but nothing too detailed. Toddlers just learning about trucks and cars and the ever- popular emergency services will adore this bright book which is perfect for repeated reading."
Farmyard Friends: Portly Pig,Age 1-3,"Portly Pig is worried about being too clean. The grass is too pristine and the flowers and trees are altogether too neat, so he goes along the track to find somewhere muckier - as befitting a pig that loves muddy pools. Yet when Portly finds a nice muddy puddle to roll in, grey clouds appear and Portly gets washed clean again. What�s a pig to do?

A perfect early story in board book format, Portly Pig is a joyful addition to Axel Scheffler�s Farmyard Friends series, all of which provide a simple rhyming story about familiar animals over six double page spreads. Scheffler�s familiar illustration style is reliably expressive, humorous and adorable, appealing to young readers straightaway. Nice thick pages mean that older babies can chew and bend away to their heart�s content and still have a solid book to show for it afterwards for story time."
"Zoom, Zoom, Zoom!",Age  0-3,"The blend of rhyme, repetition and alliteration is a recipe almost guaranteed to attract a toddler, especially when accompanied by bright, appealing human faces. This delightful board book combines all these elements, along with a rocket theme for added excitement.

We see a group of children enthusiastically daubing generous blobs of messy paint onto homemade rockets. The unassuming verse slowly builds to a jubilant crescendo with the words, 'five, four, three, two, one�BLAST OFF!', as they zoom off on some imaginary space adventure.

The size and format is ideal for very young book-lovers to enjoy with their adults. The layout is bold and well balanced, the palette bright yet delicate, and the font attractive and accessible. Annie Kubler�s trademark artwork features a diverse cast of endearing characters, and a sporty wheelchair-user, glasses, a hearing aid and an eye patch are all naturally and casually included. Particularly pleasing is a child who has converted his wheelchair into a rocket on the back cover!

Optional sheet music is provided, although the rhyme also works perfectly well without its official tune.

This is one of a series of nursery rhyme board books, all of which are quite simply perfect for a baby or toddler."
The Flute,Age 0-3,"In a bright meadow full of fruit and flowers, a boy plays a flute. As beautiful, multi-coloured butterflies flutter past, people and animals nestle down on the soft grass to listen to its mellow tune. Some children dance in the bright sun, listening to the flute whisper its sweet secrets. The flute is a bright pink scream and a lilac sigh � it can be all types of colours and moods. Above all, it�s a kind of magic all of its own.

This poetic book is the second in Tiny Owl�s series of books for babies and toddlers about musical instruments from around the world and how they make us feel and move (the first being The Drum).

The book�s rhythmic text and vibrant illustrations make it a lovely and original choice for reading and re-reading to little ones."
A Book About Marley Bear at the Farm,Age 0-2,"Marley Bear is having a day out at the farm. There�s plenty to spot, from a wheelbarrow to a hen, and even Marley�s friend, Gus the Lion.

On one page, little ones are invited to make the noises of different farm animals, followed by a mirror so that they can look at themselves and see what noises they can make, too! Marley Bear also invites us to stroke one of the sheep with a fluffy, tactile cutout, and explore card and felt flaps to see what animals are behind them. Finally, it�s time to go home, and Marley Bear drives off in his yellow felt car.

This new board book series is intended more for toddlers than younger babies as it has that bit more content and interaction, but babies will probably still enjoy it. There are plenty of good, sturdy flaps and the book is tough enough to withstand enthusiastic chewing, too."
Sing Along With Me! Five Little Ducks,Age 1-3,"Everyone knows the song about the five little ducks who go swimming one day. When Mother Duck calls them back, only four little ducks return. The song counts down from five to one and then, happily, all the little ducks come swimming back.

This super chunky board book edition has lovely bright illustrations for little ones to enjoy. It also has fabulous pull tabs to explore, revealing the next part of the song � the best one being a little wheel that makes the ducks swim round a pond (and losing one in the process).

Strong production from Nosy Crow books ensures the book is robust and there�s a nifty QR code to listen to a free audio version of the book. There are even instructions on how to use the QR code, too � a thoughtful touch from the publisher.

The book is part of the 'Sing Along with Me!' board book series of nursery songs, which includes Hey Diddle, If You�re Happy and You Know It, The Wheels on the Bus and Row, Row, Row Your Boat."
Grobblechops,Age 3-5,"Amir doesn’t want to go to bed. He is scared of the dark and afraid there might be a monster under his bed; a monster called Grobblechops who has huge teeth and growls like a tiger.
Dad reassures Amir that if he growls louder, the monster will go away – but Amir can’t help catastrophising and worrying that Grobblechops’s mum and dad will join in the fight and eat him up. Luckily, Amir’s dad is a bit of an expert when it comes to monsters, and can rationalise and defuse all his son’s anxiety to the point where Grobblechops becomes a friend rather than a threat.
Stunning, collage-style illustrations reflect the quelling of Amir’s fears as Grobblechops and his parents subtly mutate from frightening to friendly.
A ""monster-under-the-bed"" story never fails to engage and entertain young children and this contemporary retelling, based on a classic tale by the poet Rumi, breathes new life into the genre for the next generation.
"
Sweet Dreams Peter,Age 0-3,"""As you climb into bed, let me give you a hug. Settle down, little bunny, you're safe and snug.""
Peter Rabbit and his friends have had a busy day, but now it's time for them to get tucked up in bed and listen to a special lullaby. Before they know it the wood is silent, the moon is bright and they're all sleeping deeply for the night.
The charming pastel illustrations in this adorable board book are the perfect introdu"
Hug,Age 0+,"Bobo the chimp wanders sadly around the jungle looking for someone to hug, but all the animals are already cuddling someone else. With minimal text, the reader is encouraged to explore the wonderful illustrations, which speak volumes about Bobo's feelings. A lovely board book, whic"
Jack and the Beanstalk,Age 1-5,"Jack and his mother have no money for food, so they are forced to sell their beloved cow Clover. When Jack swaps Clover for some magic beans his mother is furious and throws the beans out of the window. Overnight, a beanstalk grows that will take Jack on an exciting adventure, where he'll find riches beyond his wildest dreams.
This abridged version of the well-known fairy tale is beautifully illustrated by Tony Ross, and each page is filled with vibrant, colourful drawings in his trademark style. The sturdy board format, with tabs along the edge, make it easy for little hands to turn the pages. A lovely, ba"
Dinosaur Roar!,Age 1-4,"This book is an absolute winner, which soon has toddlers joining in with the rhyming words - and admiring the fabulous dinosaur pictures. 
Little ones will really"
My Dad is Brilliant,Age 1-5,"This dad does everything well: from running like a cheetah to singing like a pop star. He's even a dab hand on roller skates. Quite simply, he's brilliant.
This board book version of a much-loved story brims over with an adorable, young enthusiasm for dads - at a time when they just can't do wrong!
The charming, funny illustrations will make you want to stop at each page, and go back over the little details they capture.
It's all guaranteed to put a big smile on the face "
We're Going on a Bear Hunt,Age 2-6,"Follow a father and his family as they go out in search of a bear. They wade through the grass, splash through the river, squelch through the mud and even negotiate a snowstorm on their way. But what will await them in the cave on the other side of the dark forest?
Michael Rosen's repetitive text has a musical charm that lends itself perfectly to reading aloud, whether to a group or to an individual - and children will enjoy joining in with actions and words. Combined with Helen Oxenbury's beautiful illustrations, it makes for a wonderfully enertaining picture book that has be"
Count with Maisy,Age 0-3,"This is a sturdy board book featuring the ever-popular character, Maisy Mouse. Young children will have fun counting from one to ten using familiar objects, such as pencils and fish. With simple text and vibrant illustrations, this is an excellent book to help pre-s"
Goldilocks and the Three Bears,Age 1-3,"While out on a walk, Goldilocks comes across a lovely cottage in the woods. She lets herself in and makes herself at home. First, she tries some porridge; then she sits on all the chairs, until finally she falls asleep in one of the beds. Unfortunately for her, that is when the owners of the house come home, and they are not happy!
This is a lovely re-telling of the classic Goldilocks and the Three Bears story. The sturdy board pages have tabs along the edges that help little hands to turn them. Tony Ross' beautiful illustrations are absolutely delightful"
Snow Bears,Age 2-7,"This gentle, very beautiful picture book is about three baby bears playing in the snow with their mummy. They play together, hiding, sliding and throwing snowballs, until they get cold and go home. When the snow on their fur melts, the snow bears become Mummy Bear's baby bears once more.
This warm story, with Sarah Fox-Davies's wond"
Kipper,Age 2-6,"One day, Kipper the dog finds that he just can’t get comfortable in his basket, so he takes out his smelly blanket, chewed ball and soggy old bone. Still not satisfied, Kipper ventures outside and tries out some other animals’ beds: the cosy flowerpot where the wrens sleep, a stick nest like the squirrels, and a nice dark hole, just like the rabbits – or are they badgers? Yet nothing feels right until Kipper realises that perhaps his own bed is perfect after all.
The first in Mick Inkpen’s immensely popular series about an adorable little pup introduces us to Kipper, a puppy whose adventures in the everyday world are completely relatable for toddlers. Kipper’s gentle adventures are always safe and happy and allow children to explore their own experiences about home and family, as well as learning about the world – in this case, about the"
Kipper's Birthday,Age 2-6,"Kipper is working hard preparing for his birthday. He bakes a very interesting cake to share with his friends and makes beautiful invitations but is too tired to deliver them and that's where the trouble starts.

The simplicity and gentle humour characteristic of Mick Inkpen's storytelling, along with his timeless and charming illustrations, will doubtless appeal to today's youngsters just as much as whe"
Mrs Wobble the Waitress,Age 3-6,"Mrs Wobble is a waitress. She loves her job and the customers like her; the only trouble is she wobbles. After spilling soup, jelly and even a roast chicken on the customers she is sacked. Luckily Mrs Wobble's family have a plan to cheer her up and find her a new job!
This cheery and funny tale is another winner in the Happy Families range of stories. Perfect for sharing, i"
Nursery Rhymes,Age 0-4,"Ten beloved nursery rhymes, including 'Humpty Dumpy' and 'One, two, buckle my shoe'
Bright and colourful illustrations from the creator of the Maisy series
Perfect for rhymetimes wit"
Guess How Much I Love You,Age 0-3,"Little Hare and his daddy compare how much they love each other: Little Hare loves his daddy as far as he can reach, but daddy has longer arms. Little Hare loves daddy as far as the river, and then, as he gets sleepy, he tells him he loves him up to the moon. And when he sleeps, daddy whispers 'I love you to the moon and back'.
This modern classic is a wonderful story about love between a child and a parent, which is never too early to share with your baby. The repetitive text lends itself perfectly to a soothing bedtime read, and the loving message is "
The Further Adventures of the Owl and the Pussy-Cat,Age 3-6,"At the end of Edward Lear's much loved poem, the happily married Owl and the Pussy-cat are dancing hand-in-hand on the edge of the sand... but what happened next? Julia Donaldson teams up with illustrator Charlotte Voake to continue their story.

In this new installment of their adventures, Puss's ring is stole from the newlyweds, and the the pair must travel far from the safety of the Bong-tree glade to find it. Their search takes them across the sea in a hot air balloon to the Chankly Bore, where they finally track down the thief.

Voake and Donaldson have created a charming tribute to Edward Lear in this delightful picture book, which is certain to please both children and nostalgic adults. Both text and illustrations are perfectly in keeping with Lear's original, and fans will enjoy spotting other familiar creations, such as the Pobble who has no toes, the Jumblies, a"
Father Christmas,Age 2-5,"It's December 24th. But for poor Father Christmas, that means his hardest night of work is ahead. It's cold, he's tired - and there's so much to do.
There's a reason why this book has stayed a children's classic for over 40 years. It is 'blooming' funny to see Father Christmas slog through the night, growing ever-more grumpy and in need of brandy and mince pies.

Yet the soft comic-strip illustrations are rich with detail and moments of quiet joy. Children's faces peer excitedly out of suburban houses. Like advent calendar doors, the windows reveal balloons, mistletoe and Christmas puddings. Briggs captures the magical sense of being on the cusp of a glorious party.

Back home, after delivering the presents, we also get to see Father Christmas enjoy the little things in life: a good bath, some lovely grub,"
Friends,Age 0+,Books without words are great for the youngest of babies as they invite adults to talk about the pictures and to interact with the baby as they look at the book together. 
Melric and the Sorcerer,Age 4-6,"The king wants his magician, Melric, to make him more powerful but Melric keeps telling him that more power will not make him happier. Instead of listening, the King invites Sondrak the sorcerer over to see if he will help grant his wish. Melric soon realises that the sorcerer is up to no good - but how can he get rid of him without making the king angry?
David McKee’s stories are a joy to read. Each page is bursting with gorgeous, detailed illustrations that not only bring the tale to life, but tell stories of their own. Children will delight in spotting all the activities taking place in the colourful spreads, making this a staple for any bookshelf "
Fox’s Socks,Age 1-4,"Mr Fox has lost his socks! Where could they be? Along with a helpful little mouse, he starts looking in all the different places where they might be hiding around the house - in a trunk, under the mat, in a cupboard... Along the way, he finds all sorts of different items of clothing - but what he really wants is his socks!
A 'getting dressed' book, a hide-and-seek book and a lift-the-flap book, all rolled into one! This is one of four in the Tales from Acorn Wood series, by the creators of The Gruffalo. It has a simple rhyming storyline and small flaps for readers to lift to help Mouse and Fox peer into each hiding place.
The ultimate question, of "
Alfie Outdoors,Age 3-6,"One sunny day Alfie decides to explore the bottom of his garden looking for some peace and quiet. He finds his Dad in the garden digging. Alfie's Dad explains that he is digging a vegetable patch and asks Alfie to help. Alfie thought the gardening would be boring but he finds creepy crawlies and helps make a bonfire. He is allowed to plant his own seeds and decides to grow carrots for an unusual special friend.
Shirley Hughes has created another wonderful book featuring Alfie and his family. Her beautiful illustrations show Alfie in his garden and help the reader to learn about growing vegetables. A classic Alfie adventure for adu"
Quentin Blake's ABC,Age 2-6,"A zany rhyming text complements lively, humorous illustrations in this wonderful ABC book.
Rhyme has often been used as an aid to learning but Quentin Blake’s text is so clever and appealing that youngsters will enjoy this book for its own sake. Mixing together both contemporary and traditional elements, it offers up many opportunities for interaction and discussion.
Learning your alphabet has never been so much fun as with this brilliantly funny book from a multipl"
"Can't You Sleep, Little Bear?",Age 3-6,"Little Bear just can't get to sleep because he is afraid of the dark. Big Bear is patient and brings bigger and bigger lanterns to keep away the darkness. Still Little Bear is afraid, so Big Bear takes him outside to see the moon and the stars. Finally, cuddled up in Big Bear's arms, Little Bear goes to sleep, allowing Big Bear to finish reading his book. This is a timeless classic, pictures and text beautifully complementing each other. Included in this edition is a CD with the story read by Martin Jarvis. This is a well-paced reading with a few effects to evoke a warm and friendly cave. Ideal for parents and children together or "
I Want My Potty!,Age 2-5,"The Little Princess hates nappies, and thinks there must be something better. At first she thinks the Royal potty is even worse - but she soon learns to love it, even if it isn't always there exactly when she needs it.
The first book in this favourite series from Tony Ross will introduce young readers to the ever-demanding but lovable Little Princess. Ross's illustrations are full of character and humour, bringing the story vividly to life. This is classic picture book entertainment - and will be especially appreciated by any children who are learn"
Spot's Baby Sister,Age 1-4,"Spot the beloved puppy has a new baby sister called Susie.
His friends, Helen the hippo and Tom the alligator, come to play and they all search for little Susie.
Eric Hill's classic illustrations, simple text and the excitemen"
Mockingbird Song,Age 0-4,"Celebrates the love and warmth that surrounds a cherished infant.
Beautifully illustrated retelling of the traditional gifting song ('Hush, little baby, don't say a word..')
Emotional content makes it"
Goodnight Moon,Age 0-3,"In a great green room a little bunny is tucked up snugly and safely in bed and is getting ready to say goodnight to all the familiar things in his room, one by one.
Margaret Wise Brown's comforting, rhythmical text makes Goodnight Moon a timeless picture book, which is known and loved around the world. This gentle bedtime story, which has lulled generations of children to sleep, is the perf"
Oi! Get Off Our Train,Age 3-5,"A welcome republication of a thirty-year old modern classic from a prolific author and illustrator who deservedly has been nominated for the 2012 Hans Christian Andersen award.
As a small boy drifts off to sleep he dreams that he is taking a journey around the world in his model train. He visits many different habitats where endangered animals beg a lift on the train to escape their impending extinction, brought about by the thoughtlessness and greed of those who misuse the environment. Initially unwilling to take more passengers, he relents as he hears each creature's plight.

Burningham's characteristic soft-focus illustrations atmospherically capture both the dream setting, and the impending danger which faces so many species, al"
Dear Zoo Noisy Book,Age 2-6,"A whole new generation of children will enjoy this classic story about finding the perfect family pet, as it is brought up–to-date with eight lifelike sounds.

As children lift the flaps to discover the seven creatures from the zoo that would make problematic pets, they will delight in pressing the buttons to create the correct accompanying animal noise, whether it is a hiss, roar or a ribbit.

And the noisy fun does not stop once readers realise which barking animal would be just right to keep at home, as there is a fun activity section that will see them using the sound buttons to answer some challenging questi"
The Emperors New Clothes,Age 2-6,"This is a satirical story about a very vain Emperor who adores beautiful new clothes and has wardrobes full of them!
When two sly swindlers, masquerading as weavers, tell him that they can make the most beautiful cloth he has ever seen into an incredible outfit, the Emperor's foolhardy vanity gets the better of him.
Marcus Sedgwick's retelling is masterfully accomplished. He has used verse to enhance the text and animals to give an anthropomorphic and human account of this story. Alison Jay's illustrations are of stunning quality and the"
Ten Little Fingers and Ten Little Toes,Age 0-3,"Babies may be born in different countries, look a little different and have different needs, but one thing that most have in common are ten fingers and ten toes. This is the uniting theme of this perfect first book for sharing. From the swaddled newborn, to children sitting alone, then crawling together, and then standing, the illustrations show babies born all over the world in the country and cities, all with irresistibly chubby fingers and toes.
This book provides a great opportunity for readers to interact with baby whilst reading aloud - and when the tale turns to the baby that is ‘mine, all mine’ and supplies a final, surprise extension to the ‘ten little toes’ rhyme, the opportunity for bonding is made perfect. Accompanied by Helen Oxenbury's lovely illustrations, this is a charming bo"
Horton Hears a Who!,Age 3-5,"Now a major film, Horton Hears a Who! is a hilarious picture book in verse from the world-famous Dr Seuss. Horton is an elephant who takes his responsibilities of caring for smaller people very seriously. Reading this book together with your child will reinforce the need to care for other people and encourage less confident children to believe that it"
Melric the Magician Who Lost His Magic,Age 3-6,"Melric, the King’s magician, uses his magic to help everyone in the kingdom with everything from watering their plants to growing their beards. But one day he wakes up to find his powers have disappeared! Melric sets off to get help from his magical friends, but to save his kingdom from attack he must use to learn his powers more wisely - and those around him must learn to rely on themselves, starting with making their own beds.
This fun, thoughtful story is perfect for sharing. Children will enjoy meeting Melric’s extraordinary friends and seeing all the silly ways the townsfolk try and look after themselves. This story could also provide a great way to introduce the topic of "
Kipper's Balloon,Age 0-5,"The latest in a range of good books about the popular Kipper and his friends, this is a stunning pop-up and lift-the-flap book with sounds, which tells of a great adventure and a fantastic balloon ride. Jump in and join Kipper on his journey: you can hunt for a dinosaur and even feed polar bears at the North Pole. This is a real treat with"
10 Little Rubber Ducks,Age 2+,"This book was inspired by a true story. In 1992, when a storm hit a cargo ship from China en route to Seattle, a container with 29,000 rubber ducks inside was swept overboard. The ducks subsequently astonished scientists by being washed ashore all over the world.
Some even successfully navigated the Bering Strait, floating past numerous ice-bergs and rounding the Northern coast of Greenland before traversing the Atlantic Ocean.
Eric Carle sweeps the reader along on a delightfully atmospheric tour of animals, opposites, numbers and directions – all illustrated in his trademark bold, expansive and utterly absorbing style. There's even a surprise on the last page when one "
"Brown Bear, Brown Bear, What Do You See?",Age 2-5,"An all-time favourite that introduces different colours through simple text, presented in a satisfyingly repetitive pattern. The book offers rhythmic, rhyming text and an ideal s"
Lost and Found,Age 3-5,"Once there was a sad, lonely penguin who appeared at the door of a young boy. The boy decided he must be lost, so he set off to find his home. The boy asked the Lost and Found Office, some birds, and even his rubber duck, but no one knew where he belonged. Then he read that penguins were from the South Pole, and decided to help him get back there. Together they set out across the sea, rowing through bad weather and good, but when they reached the South Pole, the boy discovered that sometimes what you're looking for is right in front of you all along...
With beautiful illustrations and a charming storyline, this poignant and richly enjoyable picture book won both a gold medal in the Nestle Children's Book Prize and a Blue Peter Book Award and has been turned into a BAFTA-winning animation. Illustrated in Jeffers' inimitable style, it is a visual delight, and its themes of loneliness and frie"
Nursery Rhymes,Age 0-4,"Large board book of over 20 nursery rhymes, including 'Hey Diddle Diddle', 'Twinkle Twinkle Little Star' and 'Hickory Dickory Dock'
Each rhyme is illustrated with bold, embossed images that will engage children of all ages.
The book is ac"
Incey Wincey Spider,Age 1-3,"Part of the Sign and Singalong series of bright, colourful books featuring children showing signs and actions to accompany simple rhymes like Incey Wince"
"What's the Time, Mr Wolf?",Age 0-4,"A captivating story of wolves with dinner on their minds. The wolf finger puppet attached to the book brings the story to life and is great fun for snapping at little fingers, and clocks on each p"
Window,Age 4+,"A mother and a baby look together at the view from their window: a scene of wilderness and sky. As the pages turn, the baby grows up, and gradually the scene before him changes. First we see a clearing, then a single house, then a village, then a city… but what will happen next?
Children will enjoy studying all the details of the beautiful collage illustrations in this wordless picture book, which makes an ideal starting point for conversations about the environment. Look out for the different animals an"
We're Going on a Lion Hunt,Age 3+,"A re-telling of a traditional story that will take you to another world
This irresistible African version is great to join in with
Have fun with lots of delic"
Owl Babies,Age 3-7,"When three baby owls wake up to find their mother gone, they feel scared and vulnerable. But their anxieties soon prove unfounded by Mum's safe return. This reassuring and stunningly illustrated book tackles the subject of temporary separation - a situation which all children are likely to experience, be it Mum going to work or first day at Nursery. No father figure is menti"
Elmer's Day,Age 0-3,"Join Elmer, the beloved patchwork elephant, as he goes about his day
What will he do? Who will he meet? What will he eat?
A playful and colourful boa"
Dear Zoo,Age 2+,"This appealing story, in lift-the-flap, board-book format has been a favourite with toddlers ever since it was first published in 1982.
As you lift the flaps in search of an ideal pet, a host of different zoo animals will be revealed, until the right pet is finally discovered. Simple, stylish and highly interactive, this book invites constant re-reading. The sturdy flaps are perfect for small fingers to lift, and children will still love this book w"
Rosie's Walk,Age 0-5,"Rosie the unflappable hen introduces very young children to reading pictures and finding out that they tell a story that is not always the same as the one the words tell. As Rosie walks round the barnyard, she is completely unaware of the sly, but clumsy fox following right behind her. This is a great way to let children know that stories can be full of thrills"
Za-za's Baby Brother,Age 2-5,"When Za-za's mum has a baby, it's hard for Za-za not to feel left out.
The baby is always hungry or tired or needs a nappy change and Mum and Dad are both so busy. Even the visitors only seem interested in her new little brother. When Mum suggests Za-za should cuddle the baby, she is a little sceptical but soon discovers that having a baby brother can be fun and that Mum and Dad have enough love for both of them.
This classic picture book is accompanied by an animated DVD and reading of the story, which is beautifully presented and complements both the text and Lucy Cousins'"
Elmer and the Lost Teddy,Age 0-5,"When Baby Elephant loses his teddy and can't sleep, Elmer lends him his own, promising to help find the lost one.
As he searches the forest for the missing bear he discovers that each of the baby animals there has a teddy which is special for them.
McKee's Elmer has now dazzled young and old in more than a dozen books for nearly 20 years, and the message throughout has been to celebrate difference.
In this republication of a 1999 title, McKee shows young readers that we each have special things which nobody else loves quite as we do. As ever, the pages are alive with vivid colour and pattern, and we meet "
From Acorn to Zoo,Age 2+,"This is an alphabet book with a difference, in which the unexpected is juxtaposed with the everyday to sometimes surreal effect.
Amusing and inventive, bright and colourful, fabulously illustrated in Kitamura's trademark quirky style, From Acorn to Zoo is sure to challenge and delight young children.
The additional tableaux below the key letter illustrations, which feature such memorable images as an armadillo balancing an apple and an acorn, an iguana on ice skates and a jaguar eating "
Pat-a-Cake!,Age 0-4,"A beautiful, strong, board book
Part of a series introducing well loved games and rhymes
The books are bound to become a much-loved"
I Like It When,Age 1-5,"The pleasure of parent-child activities like storytelling, playing hide-and-seek and bathtime are perfectly depicted through simple text and effective illustrations. A touching and heart-warming book, illus"
The Usborne Book of Nursery Rhymes,Age 0-3,"• This is a big collection of over forty rhymes to enjoy together
• It’s a great book that will last your child well after they start school
• You’ll have great fun"
That's Not My Bear...,Age 0-4,"A different bear is introduced on each page of this colourful board book, but there is something not quite right about most of them: one's nose is too rough, another's paws are too soft, and yet another's tongue is too scratchy.
Babies will enjoy hearing the repetitive chant of 'That's not my bear', and will be delighted when, on the final page, the right bear is found. With bold, vibrant illustrations and a variety of interesting textures throughout, this touchy-feely board book is ideal f"
The Snowman,Age 3+,"James builds a snowman in the garden, then wakes up in the night to find that it has come to life. He shows the Snowman his home, and in return, the Snowman whisks him away on a very special journey.
This beautiful picture book is a Christmas classic. The stunning illustrations beautifully convey the story of a small boy's magical friendship with a snowman. Full of love and imagination, this is an extraordinary and atmospheric ta"
